trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	17.4  	1   	9  +  2   	---     	1.851	NR  	0   	NR      	odd     
2   	19.4  	2   	9  +  4   	---     	1.851	NR  	0   	NR      	odd     
3   	21.4  	3   	4  +  8   	---     	1.851	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	39.3  	1   	7  +  6   	---     	1.851	NR  	0   	NR      	odd     
2   	41.3  	2   	4  +  8   	---     	1.851	NR  	0   	NR      	even    
3   	43.3  	3   	5  +  8   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	61.3  	1   	9  +  5   	---     	1.851	NR  	0   	NR      	even    
2   	63.3  	2   	7  +  7   	---     	1.851	NR  	0   	NR      	even    
3   	65.3  	3   	9  +  8   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	83.3  	1   	8  +  3   	---     	1.851	NR  	0   	NR      	odd     
2   	85.3  	2   	9  +  9   	---     	1.851	NR  	0   	NR      	even    
3   	87.3  	3   	2  +  9   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	105.3 	1   	8  +  5   	---     	1.851	NR  	0   	NR      	odd     
2   	107.3 	2   	6  +  7   	---     	1.851	NR  	0   	NR      	odd     
3   	109.3 	3   	9  +  6   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	127.3 	1   	9  +  4   	---     	1.851	NR  	0   	NR      	odd     
2   	129.3 	2   	8  +  7   	---     	1.851	NR  	0   	NR      	odd     
3   	131.3 	3   	8  +  8   	---     	1.851	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	149.3 	1   	9  +  3   	---     	1.851	NR  	0   	NR      	even    
2   	151.3 	2   	2  +  9   	---     	1.851	NR  	0   	NR      	odd     
3   	153.3 	3   	6  +  8   	---     	1.851	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	171.3 	1   	7  +  4   	---     	1.851	NR  	0   	NR      	odd     
2   	173.3 	2   	5  +  9   	---     	1.851	NR  	0   	NR      	even    
3   	175.3 	3   	9  +  8   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	193.3 	1   	8  +  3   	---     	1.851	NR  	0   	NR      	odd     
2   	195.3 	2   	8  +  5   	---     	1.851	NR  	0   	NR      	odd     
3   	197.3 	3   	5  +  8   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	215.3 	1   	7  +  9   	---     	1.851	NR  	0   	NR      	even    
2   	217.3 	2   	5  +  8   	---     	1.851	NR  	0   	NR      	odd     
3   	219.3 	3   	4  +  9   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	237.3 	1   	3  +  9   	---     	1.851	NR  	0   	NR      	even    
2   	239.3 	2   	6  +  5   	---     	1.851	NR  	0   	NR      	odd     
3   	241.3 	3   	9  +  4   	---     	1.851	NR  	0   	NR      	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	259.3 	1   	5  +  8   	---     	1.851	NR  	0   	NR      	odd     
2   	261.3 	2   	7  +  7   	---     	1.851	NR  	0   	NR      	even    
3   	263.3 	3   	8  +  6   	---     	1.851	NR  	0   	NR      	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
