trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	9.3   	4   	PEBBLE    	target  	2.007	2.007	0   	generic 	1 detail, 2+ details, full
2   	15.3  	4   	PEBBLE (repeat 1)	target  	1.971	NR  	0   	NR      	1 detail, 2+ details, full
3   	21.2  	4   	PEBBLE (repeat 2)	target  	2.007	2.006	1   	1 detail	1 detail, 2+ details, full
4   	27.2  	4   	PEBBLE (repeat 3)	target  	2.007	2.007	1   	1 detail	1 detail, 2+ details, full
5   	51.3  	1   	ISLAND    	target  	2.007	2.006	0   	generic 	1 detail, 2+ details, full
6   	57.2  	1   	ISLAND (repeat 1)	target  	2.007	2.006	0   	generic 	1 detail, 2+ details, full
7   	63.2  	1   	ISLAND (repeat 2)	target  	2.026	2.025	1   	1 detail	1 detail, 2+ details, full
8   	69.3  	1   	ISLAND (repeat 3)	target  	1.988	1.987	1   	1 detail	1 detail, 2+ details, full
9   	93.3  	2   	BELL      	target  	1.974	1.973	0   	generic 	1 detail, 2+ details, full
10  	99.2  	2   	BELL (repeat 1)	target  	2.007	2.006	0   	generic 	1 detail, 2+ details, full
11  	105.3 	2   	BELL (repeat 2)	target  	1.991	1.99	1   	1 detail	1 detail, 2+ details, full
12  	111.3 	2   	BELL (repeat 3)	target  	2.007	2.007	1   	2+ details	1 detail, 2+ details, full
13  	135.2 	2   	BELL (repeat 4)	target  	2.007	2.007	0   	generic 	1 detail, 2+ details, full
14  	141.2 	2   	BELL (repeat 5)	target  	2.024	2.023	0   	generic 	1 detail, 2+ details, full
15  	147.2 	2   	BELL (repeat 6)	target  	2.004	2.004	1   	1 detail	1 detail, 2+ details, full
16  	153.2 	2   	BELL (repeat 7)	target  	2.007	2.006	1   	1 detail	1 detail, 2+ details, full
17  	177.2 	8   	PIN       	target  	2.007	2.006	0   	no image	1 detail, 2+ details, full
18  	183.2 	8   	PIN (repeat 1)	target  	2.025	2.025	1   	1 detail	1 detail, 2+ details, full
19  	189.3 	8   	PIN (repeat 2)	target  	1.988	1.988	1   	2+ details	1 detail, 2+ details, full
20  	195.2 	8   	PIN (repeat 3)	target  	2.007	2.006	1   	2+ details	1 detail, 2+ details, full
21  	289.5 	3   	RAINBOW   	target  	2.007	2.006	0   	generic 	1 detail, 2+ details, full
22  	295.4 	3   	RAINBOW (repeat 1)	target  	2.007	2.007	1   	1 detail	1 detail, 2+ details, full
23  	301.4 	3   	RAINBOW (repeat 2)	target  	1.99	1.99	1   	2+ details	1 detail, 2+ details, full
24  	307.4 	3   	RAINBOW (repeat 3)	target  	2.016	2.016	1   	1 detail	1 detail, 2+ details, full
25  	331.4 	7   	PUZZLE    	target  	2.007	2.006	0   	generic 	1 detail, 2+ details, full
26  	337.4 	7   	PUZZLE (repeat 1)	target  	2.007	2.007	1   	1 detail	1 detail, 2+ details, full
27  	343.4 	7   	PUZZLE (repeat 2)	target  	2.007	2.007	1   	1 detail	1 detail, 2+ details, full
28  	349.5 	7   	PUZZLE (repeat 3)	target  	1.99	1.99	1   	2+ details	1 detail, 2+ details, full
29  	373.4 	6   	CURTAIN   	target  	2.007	2.006	0   	generic 	1 detail, 2+ details, full
30  	379.4 	6   	CURTAIN (repeat 1)	target  	2.007	2.006	1   	1 detail	1 detail, 2+ details, full
31  	385.4 	6   	CURTAIN (repeat 2)	target  	1.993	1.992	1   	2+ details	1 detail, 2+ details, full
32  	391.4 	6   	CURTAIN (repeat 3)	target  	2.004	2.004	1   	2+ details	1 detail, 2+ details, full
33  	415.4 	8   	PIN (repeat 4)	target  	2.007	2.006	0   	generic 	1 detail, 2+ details, full
34  	421.4 	8   	PIN (repeat 5)	target  	2.005	2.004	1   	1 detail	1 detail, 2+ details, full
35  	427.4 	8   	PIN (repeat 6)	target  	2.016	2.016	1   	1 detail	1 detail, 2+ details, full
36  	433.4 	8   	PIN (repeat 7)	target  	2.005	NR  	0   	NR      	1 detail, 2+ details, full
37  	457.4 	4   	PEBBLE (repeat 4)	target  	2.007	2.006	0   	generic 	1 detail, 2+ details, full
38  	463.4 	4   	PEBBLE (repeat 5)	target  	1.998	1.998	0   	generic 	1 detail, 2+ details, full
39  	469.5 	4   	PEBBLE (repeat 6)	target  	1.986	1.985	1   	1 detail	1 detail, 2+ details, full
40  	475.4 	4   	PEBBLE (repeat 7)	target  	2.007	2.007	1   	1 detail	1 detail, 2+ details, full
41  	507.9 	5   	HAMMER    	target  	1.99	1.99	0   	no image	1 detail, 2+ details, full
42  	513.8 	5   	HAMMER (repeat 1)	target  	2.005	2.004	0   	generic 	1 detail, 2+ details, full
43  	519.8 	5   	HAMMER (repeat 2)	target  	1.99	1.99	1   	1 detail	1 detail, 2+ details, full
44  	525.8 	5   	HAMMER (repeat 3)	target  	2.024	2.023	1   	1 detail	1 detail, 2+ details, full
45  	549.8 	6   	CURTAIN (repeat 4)	target  	2.007	2.007	0   	generic 	1 detail, 2+ details, full
46  	555.8 	6   	CURTAIN (repeat 5)	target  	2.007	2.007	1   	1 detail	1 detail, 2+ details, full
47  	561.8 	6   	CURTAIN (repeat 6)	target  	2.007	2.007	1   	1 detail	1 detail, 2+ details, full
48  	567.8 	6   	CURTAIN (repeat 7)	target  	2.007	2.007	1   	2+ details	1 detail, 2+ details, full
49  	591.8 	7   	PUZZLE (repeat 4)	target  	2.008	2.007	0   	generic 	1 detail, 2+ details, full
50  	597.8 	7   	PUZZLE (repeat 5)	target  	1.991	1.99	1   	1 detail	1 detail, 2+ details, full
51  	603.9 	7   	PUZZLE (repeat 6)	target  	2.007	2.006	1   	1 detail	1 detail, 2+ details, full
52  	609.8 	7   	PUZZLE (repeat 7)	target  	2.005	2.005	1   	1 detail	1 detail, 2+ details, full
